80806, BUTTER NAAN, KADAI PANEER, CHE SANDWICH, CHE SANDWICH,
86497, PEPSI MIX, COKE MIX,
85501, PLAIN MAGGI, PULPY ORANGE, ICECREAMSHAKE,
86540, PULPY ORANGE, ICECREAMSHAKE, CHE SANDWICH,
90470, ICECREAMSHAKE, CHE SANDWICH,
92616, FRUIT SHAKE, CHE BURGER,
97726, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE,
98646, CHI.RICE, CHE SANDWICH, COKE MIX,
98658, CHI.RICE, FRUIT SHAKE, COKE MIX,
104190, GOODAY@10, COKE MIX,
105833, CHI.PAKODA, BUTTER NAAN,
83406, ICECREAMSHAKE, PANEER FRANKY,
86012, MASALA DOSA, FRUIT SHAKE, ICECREAMSHAKE,
99668, LAYS / BINGO, COKE CAN,
91791, ALOO PARATHA, BUTTER, PANEER FRANKY,
93882, ALOO PARATHA, CURD,
93883, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE, PANEER FRANKY,
101075, ALOO PARATHA, CURD,
101181, DAIRY MILK, ICE,
88580, JAM TREAT, LITTLE HEARTS, CHE SANDWICH, COKE MIX,
90480, LAYS / BINGO, COKE MIX,
83447, FRUIT SHAKE, ALOO PARATHA,
86516, FRUIT SHAKE, ALOO PARATHA,
88284, FRUIT SHAKE, ALOO PARATHA,
101963, ICECREAMSHAKE, ALOO PARATHA,
115557, ICECREAMSHAKE, ALOO PARATHA,
115687, ICECREAMSHAKE, ICECREAMSHAKE, COKE MIX, WAFFY,
94184, ICECREAMSHAKE, CHE SANDWICH,
90121, ALOO PARATHA, BUTTER,
90183, ALOO PARATHA, BUTTER,
94085, ALOO PARATHA, VENDING TOKEN,
95642, ALOO PARATHA, PANEER FRANKY,
113733, ALOO PARATHA, BUTTER,
115386, ALOO PARATHA, BUTTER,
74846, EGG RICE, CHE SANDWICH,
85954, ALOO PARATHA, BUTTER,
91189, FRIED IDLY, SAMBHAR VADA, VENDING TOKEN,
93273, ALOO PARATHA, VENDING TOKEN,
95191, CHE SANDWICH, VENDING TOKEN,
95668, ALOO PARATHA, BUTTER,
95745, JAM TREAT, BOURBON, LITTLE HEARTS, CHE SANDWICH,
84009, BUTTER NAAN, CHILLI PANEER, FRUIT SHAKE,
91641, JAM TREAT, WAFFY,
80511, FRUIT SHAKE, CHE BURGER,
80647, BOURBON, BRT CAKES,
81426, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE,
84005, FRUIT SHAKE, CHE SANDWICH,
84917, BUTTER NAAN, KADAI PANEER,
88599, FRUIT SHAKE, BRT CAKES,
92091, FRUIT SHAKE, CHE BURGER,
96560, FRUIT SHAKE, CHE SANDWICH,
101472, BUTTER NAAN, CHILLI PANEER,
106490, BUTTER NAAN, CHILLI PANEER,
109147, BUTTER NAAN, CHILLI PANEER,
116204, BUTTER NAAN, CHILLI PANEER,
74960, ALOO PARATHA, BUTTER,
74962, ALOO PARATHA, BUTTER,
74969, PULPY ORANGE, SLICE,
77204, LAYS / BINGO, PULPY ORANGE,
78425, PULPY ORANGE, CHE SANDWICH,
89167, BARAF KA GOLA /FALUDA, WAFFY,
90881, PLAIN MAGGI, BARAF KA GOLA /FALUDA, CHE SANDWICH,
91014, LAYS / BINGO, FRUIT SHAKE,
92695, VEG PATTY, FRUIT SHAKE,
92722, LAYS / BINGO, FIVE STAR@20,
93810, FRUIT SHAKE, BARAF KA GOLA /FALUDA,
97869, LAYS / BINGO, FRUIT SHAKE,
97995, FIVE STAR@20, BRT CAKES,
98774, FRUIT SHAKE, CHE SANDWICH, CAPRI SUN,
98823, LAYS / BINGO, FIVE STAR@25, BRT CAKES,
99482, VEG PATTY, CAPRI SUN,
99505, LAYS / BINGO, CAPRI SUN,
105790, LAYS / BINGO, BRT. CAKE, FIVE STAR@20, REAL JUICE, CHE SANDWICH,
105811, FIVE STAR@20, CHE SANDWICH,
106900, FRIED MAGGI, PANEER FRANKY,
106972, FIVE STAR@20, FRUIT SHAKE, REAL JUICE, CHE SANDWICH, PANEER FRANKY,
108430, LAYS / BINGO, REAL JUICE,
108877, ALOO PARATHA, REAL JUICE,
108961, VEG PATTY, LAYS / BINGO, PULPY ORANGE,
111434, VEG PATTY, COKE MIX,
112770, PLAIN MAGGI, PLAIN MAGGI, FRUIT SHAKE, REAL JUICE, REAL JUICE,
114426, FRUIT SHAKE, CHE SANDWICH,
116609, PLAIN MAGGI, COKE MIX,
99964, BUTTER NAAN, IDLY SAMBHAR,
107659, BUTTER NAAN, CHILLI PANEER,
108409, BUTTER NAAN, BUTTER CHICKEN,
109187, BUTTER NAAN, CHILLI CHICKEN,
109231, BUTTER NAAN, ICECREAMSHAKE,
110643, VEG RICE, BUTTER CHICKEN,
103982, REAL JUICE, PANEER FRANKY,
76991, PULPY ORANGE, CHE SANDWICH,
82736, PEPSI MIX, CHE SANDWICH,
101827, FRUIT SHAKE, ALOO PARATHA,
101926, FRUIT SHAKE, CHE SANDWICH,
103916, FRUIT SHAKE, CHE BURGER,
105791, LAYS / BINGO, BOURBON, CHE SANDWICH,
107736, FRUIT SHAKE, ALOO PARATHA,
107763, LAYS / BINGO, CHE BURGER,
108963, VEG PATTY, PULPY ORANGE,
112704, FRUIT SHAKE, ALOO PARATHA,
85576, VEG PASTA, ICECREAMSHAKE,
89614, BUTTER NAAN, KADAI PANEER,
115602, BUTTER NAAN, KADAI PANEER,
115632, CHILLI CHICKEN, ICECREAMSHAKE,
76331, CHI.RICE, FRUIT SHAKE,
76340, OREO@30, COKE CAN,
83424, PLAIN MAGGI, FRUIT SHAKE,
88277, FRUIT SHAKE, CHE SANDWICH,
96319, FRUIT SHAKE, CHE SANDWICH,
99381, BUTTER NAAN, KADAI PANEER,
99463, FRUIT SHAKE, ICE,
101186, FRUIT SHAKE, ALOO PARATHA, CAPRI SUN,
101790, BUTTER NAAN, KADAI PANEER,
76639, BUTTER NAAN, BUTTER CHICKEN,
78010, GOODAY@20, COKE MIX, WAFFY,
103744, BUTTER NAAN, BUTTER CHICKEN,
115975, YAMAMA, COKE MIX,
93271, PLAIN MAGGI, FRUIT SHAKE,
95187, PLAIN MAGGI, VENDING TOKEN,
111824, PANEER FRANKY, VENDING TOKEN,
83388, CHI.RICE, ALOO PARATHA,
95661, CHI.TANDURY 1/2, ALOO PARATHA,
86586, ICECREAMSHAKE, CHE SANDWICH,
76374, BOURBON, LITTLE HEARTS, FRUIT SHAKE,
95243, FRUIT SHAKE, CHE SANDWICH,
98186, PLAIN MAGGI, FRUIT SHAKE,
99298, FRUIT SHAKE, CHE SANDWICH,
105866, FRUIT SHAKE, CHE SANDWICH,
114692, REAL JUICE, WAFFY,
81475, FRIED MAGGI, VEG PASTA, PULPY ORANGE,
109196, FRUIT SHAKE, ALOO PARATHA, ALOO PARATHA, BUTTER,
114862, PLAIN DOSA, ICECREAMSHAKE,
74906, FRUIT SHAKE, CHE SANDWICH,
86348, BUTTER NAAN, KADAI PANEER,
102492, LAYS / BINGO, FRUIT SHAKE, CHE SANDWICH, COKE MIX,
93628, OREO@15, LITTLE HEARTS,
88537, CHE SANDWICH, SAMBHAR VADA,
88598, CHE SANDWICH, COKE MIX,
100418, CHI.PAKODA, BUTTER NAAN, CHILLI CHICKEN, FRUIT SHAKE, CHE SANDWICH,
100499, PASTRY, ICE,
82711, CHI.RICE, WAFFY,
83776, CHI.RICE, BRT CAKES,
89226, ICECREAMSHAKE, CHE SANDWICH,
84973, MASALA DOSA, CHE BURGER,
99871, VEG PATTY, VEG PATTY, PASTRY, PASTRY, ALOO PARATHA,
106510, BUTTER NAAN, BUTTER CHICKEN,
113639, CHILLI PANEER, PULPY ORANGE,
80788, LAYS / BINGO, CHE SANDWICH,
82643, ALOO PARATHA, COKE MIX,
77310, MY CAN, CHE SANDWICH,
80577, LAYS / BINGO, LITTLE HEARTS, BRT CAKES,
86842, JAM TREAT, BRT CAKES,
91875, CHILLI CHICKEN, PLAIN NAAN,
91982, FRUIT SHAKE, CHE BURGER, PANEER FRANKY,
94224, LAYS / BINGO, JAM TREAT,
95926, BUTTER NAAN, BUTTER CHICKEN,
99507, COKE CAN, WAFFY,
107412, KAJU SHAKE, CHE SANDWICH,
84362, FRUIT SHAKE, COKE MIX,
86431, LITTLE HEARTS, CHE SANDWICH,
90983, ALOO PARATHA, MY CAN, CHE SANDWICH,
91078, LAYS / BINGO, LITTLE HEARTS,
92989, VEG PATTY, ALOO PARATHA, MY CAN,
93081, LAYS / BINGO, LITTLE HEARTS,
94241, COKE CAN, ALOO PARATHA, CHE SANDWICH,
96431, LAYS / BINGO, MY CAN, CHE SANDWICH,
102107, BUTTER NAAN, KADAI PANEER, FIVE STAR@20, COKE MIX,
102185, LAYS / BINGO, LITTLE HEARTS,
106623, BUTTER NAAN, KADAI PANEER, COKE CAN,
106648, LAYS / BINGO, LITTLE HEARTS,
115491, LAYS / BINGO, CHE SANDWICH,
75540, CHE SANDWICH, BRT CAKES,
80915, BUTTER NAAN, CHILLI CHICKEN, LAYS / BINGO, DAIRY MILK,
88867, BUTTER NAAN, BUTTER CHICKEN, CHE SANDWICH,
89006, BRT CAKES, COKE MIX,
103394, LAYS / BINGO, YAMAMA,
103450, SILK, CHOCO PIE,
114943, LAYS / BINGO, BRT. CAKE, OREO@30, BOURBON, SILK,
114944, COKE MIX, PULPY NIMBU,
114951, LITTLE HEARTS, FIVE STAR@25,
115869, CHI.PAKODA, BUTTER NAAN, CHILLI CHICKEN, CHE SANDWICH,
115889, KADAI PANEER, PULPY ORANGE, COKE MIX,
75554, PLAIN DOSA, BUTTER NAAN, CHILLI PANEER, PULPY ORANGE,
75559, FRUIT SHAKE, ICECREAMSHAKE,
75676, SILK, FRUIT SHAKE, ICECREAMSHAKE, YAMAMA,
75719, EGG RICE, BOURBON,
78191, FRUIT SHAKE, FALUDA KULFI,
79884, FRUIT SHAKE, ALOO PARATHA,
79919, PULPY ORANGE, ALOO PARATHA,
87951, FRUIT SHAKE, FALUDA KULFI,
92193, KADAI PANEER, ICECREAMSHAKE, PLAIN NAAN,
88127, PLAIN MAGGI, CHE SANDWICH,
97882, LAYS / BINGO, FIVE STAR@20, WAFFY,
102766, FIVE STAR@20, CHE SANDWICH,
106584, JAM TREAT, MATKA KULFI,
107517, LAYS / BINGO, BOURBON, FIVE STAR@20,
108214, PLAIN MAGGI, LAYS / BINGO, BOURBON,
108225, PLAIN MAGGI, LAYS / BINGO, FIVE STAR@20,
114566, BUTTER NAAN, KADAI PANEER, COKE MIX,
114570, EGG RICE, PULPY ORANGE, CHI LOLLIPOP, COKE MIX,
114572, BUTTER NAAN, KADAI PANEER, PULPY ORANGE, FRUIT SHAKE, KAJU SHAKE,
114588, BUTTER NAAN, BUTTER CHICKEN, CHE SANDWICH,
114631, CHI.PAKODA, COKE MIX,
114652, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE,
114729, FIVE STAR@25, ICECREAMSHAKE, COKE MIX,
77022, CHILLI PANEER, ICECREAMSHAKE,
77098, COKE CAN, CHE SANDWICH,
81710, CHE SANDWICH, PANEER FRANKY,
81739, LAYS / BINGO, COKE CAN, PANEER FRANKY,
83465, LAYS / BINGO, FRUIT SHAKE,
83491, LAYS / BINGO, COKE MIX,
86585, ICECREAMSHAKE, CHE SANDWICH,
89182, LITTLE HEARTS, CHE SANDWICH,
89229, CHE SANDWICH, COKE MIX,
90974, CHILLI PANEER, CHE SANDWICH,
91077, LITTLE HEARTS, COKE CAN, ICECREAMSHAKE, CHE SANDWICH,
96427, CHE SANDWICH, PANEER FRANKY,
96475, LAYS / BINGO, COKE MIX, PANEER FRANKY,
103893, LAYS / BINGO, PANEER FRANKY,
108000, VEG PATTY, FRUIT SHAKE, ICECREAMSHAKE,
108015, VEG PATTY, LAYS / BINGO,
110878, CHE SANDWICH, PANEER FRANKY,
110893, FRUIT SHAKE, PANEER FRANKY,
110910, LAYS / BINGO, CHE SANDWICH, COKE MIX, PANEER FRANKY,
114285, CHILLI PANEER, CHE SANDWICH,
114329, LAYS / BINGO, CHE SANDWICH, COKE MIX,
115089, BUTTER NAAN, KADAI PANEER, FRUIT SHAKE,
115254, LAYS / BINGO, COKE CAN,
76958, CHI.RICE, CHE SANDWICH,
80245, CHI.RICE, CHE BURGER,
82784, LAYS / BINGO, WAFFY,
83846, CHI.RICE, CHE SANDWICH,
96546, LAYS / BINGO, WAFFY,
97750, LAYS / BINGO, ICECREAMSHAKE,
